lat,lon
-21.73348793,-40.47351135
-21.73471225,-40.47145028
-21.73508535,-40.47171108
-21.73386826,-40.47376853
-21.7342486,-40.47401485
-21.73546569,-40.47195378
-21.73636401,-40.47258767
-21.735875,-40.47322157
-21.7334517,-40.47160966
-21.7332235,-40.47198638
-21.73556711,-40.47367436
